Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,940,16.2,.573,.000,.222,7.8,21.8,14.6,10.0,2.3,4.8,11.0,14.4,,1.1,1.2,2.3,.115,,-2.3,3.3,1.0,0.7
90,Willie Cauley-Stein\caulewi01,C,26,DAL,9,111,23.0,.682,.029,.176,8.6,29.8,19.4,9.7,1.8,6.1,9.8,15.7,,0.3,0.2,0.5,.233,,0.2,3.6,3.8,0.2
91,Tyson Chandler\chandty01,C,37,HOU,26,219,10.8,.717,.000,.722,11.8,19.7,15.7,3.5,1.3,3.1,25.2,6.0,,0.3,0.3,0.6,.129,,-2.5,1.4,-1.1,0.1
92,Wilson Chandler\chandwi01,SF,32,BRK,25,517,8.8,.552,.624,.143,1.6,19.5,10.8,8.4,1.4,1.3,16.0,13.6,,0.0,0.7,0.7,.066,,-3.1,1.1,-2.0,0.0
93,Zylan Cheatham\cheatzy01,SF,24,NOP,3,31,0.1,.400,.200,.000,3.4,17.2,10.2,8.0,0.0,2.7,37.5,10.6,,-0.1,0.0,-0.1,-0.085,,-8.6,0.4,-8.2,0.0
94,Chris Chiozza\chiozch01,PG,24,TOT,14,146,9.9,.395,.488,.000,0.0,13.6,6.6,29.9,3.8,1.2,18.9,15.1,,-0.1,0.1,0.0,.008,,-3.9,-0.2,-4.1,-0.1
94,Chris Chiozza\chiozch01,PG,24,WAS,10,123,9.2,.397,.471,.000,0.0,13.7,6.6,28.4,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.004,,-4.2,-0.2,-4.4,-0.1
94,Chris Chiozza\chiozch01,PG,24,BRK,4,23,13.7,.389,.556,.000,0.0,13.0,6.7,37.6,4.1,0.0,10.0,18.2,,0.0,0.0,0.0,.070,,-2.3,-0.2,-2.5,0.0
95,Marquese Chriss\chrisma01,PF,22,GSW,50,959,19.0,.596,.114,.412,10.1,22.1,15.9,14.3,1.6,4.9,15.2,19.1,,1.5,1.1,2.6,.128,,-0.9,2.2,1.3,0.8
96,Gary Clark\clarkga01,PF,25,TOT,30,370,11.4,.552,.860,.097,6.9,14.8,10.8,4.7,0.5,3.1,4.0,11.5,,0.5,0.3,0.9,.114,,-1.0,-1.0,-2.0,0.0
96,Gary Clark\clarkga01,PF,25,HOU,18,212,11.9,.564,.864,.119,5.4,14.4,9.8,7.6,0.4,2.8,3.1,12.4,,0.4,0.2,0.6,.126,,0.0,-1.1,-1.1,0.0
96,Gary Clark\clarkga01,PF,25,ORL,12,158,10.8,.530,.853,.059,9.1,15.4,12.1,0.9,0.6,3.4,5.4,10.2,,0.1,0.2,0.3,.098,,-2.3,-0.9,-3.3,-0.1
97,Brandon Clarke\clarkbr01,PF,23,MEM,47,1025,21.8,.674,.128,.236,6.9,20.7,13.9,9.9,1.1,3.3,9.3,19.3,,2.9,1.1,4.1,.190,,1.8,0.8,2.5,1.2
98,Jordan Clarkson\clarkjo01,SG,27,TOT,53,1277,18.6,.587,.479,.205,3.1,8.3,5.8,14.3,1.2,0.9,8.5,25.5,,2.6,0.7,3.3,.122,,2.9,-2.8,0.1,0.7
98,Jordan Clarkson\clarkjo01,SG,27,CLE,29,666,18.8,.581,.488,.264,3.4,8.0,5.7,17.1,1.2,1.0,9.7,25.8,,1.4,0.1,1.5,.108,,3.0,-3.6,-0.6,0.2
98,Jordan Clarkson\clarkjo01,SG,27,UTA,24,611,18.4,.594,.471,.143,2.8,8.7,5.9,11.3,1.2,0.8,7.1,25.2,,1.2,0.6,1.8,.138,,2.8,-1.9,0.9,0.4
99,Nicolas Claxton\claxtni01,PF,20,BRK,14,183,14.5,.570,.152,.413,11.0,13.1,12.1,12.8,0.3,3.6,14.2,14.5,,0.3,0.2,0.5,.120,,-1.5,1.2,-0.3,0.1
